id;nome;descricao;numero_pontos;data_criacao
1;Refinado Gabão;../fake-data/blob/hipster.txt;80037;2022-05-06T10:11:36
2;defect;../fake-data/blob/hipster.txt;70607;2022-05-06T14:22:01
3;Jogos;../fake-data/blob/hipster.txt;48559;2022-05-06T22:42:43
4;Czech alarm;../fake-data/blob/hipster.txt;38357;2022-05-06T16:30:56
5;TCP Granito contingency;../fake-data/blob/hipster.txt;61097;2022-05-06T15:26:43
6;e-markets Sabonete;../fake-data/blob/hipster.txt;95717;2022-05-06T19:03:51
7;payment Borders;../fake-data/blob/hipster.txt;7847;2022-05-06T16:55:28
8;açafrão esmeralda;../fake-data/blob/hipster.txt;22031;2022-05-06T08:37:49
9;open holistic facilitate;../fake-data/blob/hipster.txt;70126;2022-05-07T02:01:45
10;Avenida Lustroso card;../fake-data/blob/hipster.txt;12101;2022-05-06T21:20:20
